cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtestorno;dtaltera;cdusuarioaltera;cdenderecoentrega;orcamento;observacao;cdvendasituacao;cdconta;cdindicecorrecao;valorfrete;frete;cdterceiro;cdformapagamento;cdprazopagamento;cdpedidovenda;identificadorexterno;desconto;prazomedio;saldofinal;cdprojeto;identificadorcarregamento;bonificacao;taxavenda;cdlocalarmazenagem;identificador;expedicaovendasituacao;taxapedidovenda;cdmaterialtabelapreco;percentualdesconto;cdclienteindicacao;qtdeparcelas;cdvendaorcamento;observacaointerna;cdclientevalecompra;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;origemwebservice;cdfornecedor;percentualrepresentacao;cdprazopagamentorepresentacao;cdformapagamentorepresentacao;cdcontarepresentacao;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;criacaofinalizada;aprovando;valoraproximadoimposto;limitecreditoexcedido;cdcentrocusto;valorfretecif;origemotr;cdenderecofaturamento;vendapendencianaonegociada;quantidadevolumes;sinalizadosemreserva;expedicaosituacao;cdparceiro;entregaecommercerealizada;intermediadornfe;cdintermediador;cdclienteremessa;incideiss;numeropedido;nsu;codigoautorizacao;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54688;3;50;18981;02/12/2025;;59:34.4;238;46;;;2;;;0;1;;70;48;53761;;0;false;;;;false;0;1;2746;;;;;;;;;;false;500;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54689;3;51;18981;02/12/2025;;23:30.7;238;47;;;2;;;0;1;;70;54;53764;;;false;;;;false;0;1;2747;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54690;3;51;18981;02/12/2025;;27:17.0;238;47;;;2;;;0;1;;70;54;53764;;;false;;;;false;0;1;2748;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54727;3;99;18981;03/12/2025;;15:27.5;238;93;;;2;;;0;1;;70;54;53792;;0;false;;;;false;0;1;2757;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54718;3;136;18981;03/12/2025;;04:28.6;238;130;;;2;2;;0;1;;2;56;53762;;0;false;;;;false;0;1;2750;;;;;;;;;;false;2908;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54720;3;136;18981;03/12/2025;;10:27.3;238;130;;;2;2;;0;1;;2;56;53763;;0;false;;;;false;0;1;2751;;;;;;;;;;false;2908;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54719;5;24424;373;03/12/2025;;07:43.4;373;24025;;;2;3;;0;2;;2;55;53798;;0;false;;;;false;0;2;869;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54721;3;139;18981;03/12/2025;;24:10.4;238;133;;;2;2;;0;1;;2;50;53799;;0;false;;;;false;0;1;2752;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54716;5;77;373;03/12/2025;;17:31.3;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;1;;2;80;53791;;0;false;;;;false;0;2;868;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
