cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtestorno;dtaltera;cdusuarioaltera;cdenderecoentrega;orcamento;observacao;cdvendasituacao;cdconta;cdindicecorrecao;valorfrete;frete;cdterceiro;cdformapagamento;cdprazopagamento;cdpedidovenda;identificadorexterno;desconto;prazomedio;saldofinal;cdprojeto;identificadorcarregamento;bonificacao;taxavenda;cdlocalarmazenagem;identificador;expedicaovendasituacao;taxapedidovenda;cdmaterialtabelapreco;percentualdesconto;cdclienteindicacao;qtdeparcelas;cdvendaorcamento;observacaointerna;cdclientevalecompra;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;origemwebservice;cdfornecedor;percentualrepresentacao;cdprazopagamentorepresentacao;cdformapagamentorepresentacao;cdcontarepresentacao;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;criacaofinalizada;aprovando;valoraproximadoimposto;limitecreditoexcedido;cdcentrocusto;valorfretecif;origemotr;cdenderecofaturamento;vendapendencianaonegociada;quantidadevolumes;sinalizadosemreserva;expedicaosituacao;cdparceiro;entregaecommercerealizada;intermediadornfe;cdintermediador;cdclienteremessa;incideiss;numeropedido;nsu;codigoautorizacao;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
55115;3;99;18981;10/12/2025;;22:53.0;238;93;;;2;;;0;1;;70;54;53991;;0;false;;;;false;0;1;2800;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55117;3;98;18981;10/12/2025;;30:45.7;238;92;;;2;;;0;1;;70;54;53992;;0;false;;;;false;0;1;2802;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55080;3;51;18981;10/12/2025;;16:07.8;238;47;;;2;;;0;1;;70;54;53956;;;false;;;;false;0;1;2796;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55113;3;91;18981;10/12/2025;;33:21.3;238;87;;;2;;;0;1;;70;48;53771;;0;false;;;;false;0;1;2799;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55081;5;61;373;10/12/2025;;32:13.2;373;57;;;2;;;0;2;;70;50;53964;;0;false;;;;false;0;2;879;;;;;;;;;;false;503;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55114;5;131;373;10/12/2025;;22:06.8;373;125;;;2;;;0;2;;70;69;54022;;0;false;;;;false;0;2;880;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55118;3;108;18981;10/12/2025;;55:06.5;238;102;;;2;;;0;1;;70;50;53993;;0;false;;;;false;0;1;2803;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55145;3;105;18981;11/12/2025;;05:36.1;238;99;;;2;2;;0;1;;2;55;53990;;0;false;;;;false;0;1;2804;;;;;;;;;;false;2713;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55148;3;62;18981;11/12/2025;;12:50.0;238;58;;;2;;;0;1;;70;54;54056;;0;false;;;;false;0;1;2805;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55149;3;56;18981;11/12/2025;;49:25.1;238;52;;;2;;;0;1;;70;50;54055;;0;false;;;;false;0;1;2806;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55146;5;76;373;11/12/2025;;37:11.1;373;72;;;2;3;;0;1;;2;80;54088;;0;false;;;;false;0;2;881;;;;;;;;;;false;2644;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55147;5;77;373;11/12/2025;;56:17.4;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;1;;2;80;54089;;0;false;;;;false;0;2;882;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
55150;5;131;373;11/12/2025;;54:11.4;373;125;;;2;;;0;2;;70;69;54090;;0;false;;;;false;0;2;883;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55211;3;51;18981;12/12/2025;;32:13.0;238;47;;;2;;;0;1;;70;54;54091;;0;false;;;;false;0;1;2809;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55178;3;125;18981;12/12/2025;;11:49.6;238;119;;;2;;;0;1;;70;55;54057;;0;false;;;;false;0;1;2807;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55179;3;125;18981;12/12/2025;;14:57.0;238;119;;;2;;;0;1;;70;55;54058;;0;false;;;;false;0;1;2808;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55277;3;136;18981;15/12/2025;;06:42.8;238;130;;;2;2;;0;1;;2;56;54154;;0;false;;;;false;0;1;2811;;;;;;;;;;false;2908;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55244;3;104;18981;15/12/2025;;45:05.2;238;98;;;2;;;0;1;;70;54;54156;;0;false;;;;false;0;1;2810;;;;;;;;;;false;2712;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55310;5;88;373;15/12/2025;;07:27.4;373;84;;;2;3;;0;2;;2;50;54160;;0;false;;;;false;0;2;884;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55313;3;44;18981;15/12/2025;;34:20.6;238;2971;;;2;2;;0;1;;2;49;54121;;0;false;;;;false;0;1;2814;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;40;;;false;;;;0;;;;;;;0;;false
55311;3;113;18981;15/12/2025;;28:50.6;238;107;;;2;;;0;1;;70;63;54155;;0;false;;;;false;0;1;2812;;;;;;;;;;false;2909;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55314;3;112;373;15/12/2025;;02:37.4;373;106;;;2;;;0;2;;70;63;54187;;0;false;;;;false;0;1;2815;;;;;;;;;;false;9574;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55316;3;73;18981;15/12/2025;;30:15.3;238;69;;;2;;;0;1;;70;49;53827;;0;false;;;;false;0;1;2817;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55312;3;63;18981;15/12/2025;;28:07.1;238;59;;;2;;;0;1;;70;48;53892;;0;false;;;;false;0;1;2813;;;;;;;;;;false;506;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55315;3;73;18981;15/12/2025;;26:20.4;238;69;;;2;;;0;1;;70;49;53826;;0;false;;;;false;0;1;2816;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55317;3;73;18981;15/12/2025;;32:48.9;238;69;;;2;;;0;1;;70;49;53828;;0;false;;;;false;0;1;2818;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55343;3;127;18981;16/12/2025;;32:44.0;238;121;;;2;2;;0;1;;2;49;54158;;0;false;;;;false;0;1;2819;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55376;3;62;18981;16/12/2025;;49:32.9;238;58;;;2;;;0;1;;70;54;54220;;0;false;;;;false;0;1;2821;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55344;3;64;18981;16/12/2025;;37:53.4;238;60;;;2;2;;0;1;;2;54;54159;;0;false;;;;false;0;1;2820;;;;;;;;;;false;2875;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55409;3;50;18981;16/12/2025;;42:36.6;238;46;;;2;;;0;1;;70;48;54223;;0;false;;;;false;0;1;2823;;;;;;;;;;false;500;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55410;3;51;18981;16/12/2025;;33:44.9;238;47;;;2;;;0;1;;70;54;54221;;;false;;;;false;0;1;2824;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55411;3;51;18981;16/12/2025;;42:46.0;238;47;;;2;;;0;1;;70;54;54221;;0;false;;;;false;0;1;2825;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55345;5;77;373;16/12/2025;;49:50.1;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;1;;2;54;54224;;0;false;;;;false;0;2;885;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
55377;3;111;18981;16/12/2025;;27:00.3;238;105;;;2;;;0;1;;70;63;54222;;0;false;;;;false;0;1;2822;;;;;;;;;;false;1853;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55442;3;98;18981;17/12/2025;;51:08.2;238;92;;;2;;;0;1;;70;54;54253;;0;false;;;;false;0;1;2826;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55443;3;91;18981;17/12/2025;;54:23.2;238;87;;;2;;;0;1;;70;48;53771;;0;false;;;;false;0;1;2827;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55444;3;112;373;17/12/2025;;39:08.0;373;106;;;2;;;0;2;;70;63;54254;;0;false;;;;false;0;1;2828;;;;;;;;;;false;9574;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55445;5;131;373;17/12/2025;;16:17.2;373;125;;;2;;;0;2;;70;69;54255;;0;false;;;;false;0;2;886;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55475;3;16735;18981;17/12/2025;;25:06.0;238;16402;;;2;2;;0;1;;2;49;54157;;0;false;;;;false;0;1;2829;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55511;3;125;18981;18/12/2025;;16:15.6;238;119;;;2;;;0;1;;70;55;54321;;0;false;;;;false;0;1;2832;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55512;3;48;18981;18/12/2025;;34:40.5;238;44;;;2;;;0;1;;70;69;54122;;0;false;;;;false;0;1;2833;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55508;5;131;373;18/12/2025;;55:06.7;373;125;;;2;;;0;2;;70;69;54319;;0;false;;;;false;0;2;887;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55509;3;13008;18981;18/12/2025;;11:31.5;238;;;;2;2;;0;1;;2;50;53925;;0;false;;;;false;0;1;2830;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55510;3;62;18981;18/12/2025;;59:44.4;238;58;;;2;;;0;1;;70;54;54286;;0;false;;;;false;0;1;2831;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55513;3;128;18981;18/12/2025;;42:17.1;238;122;;;2;2;;0;1;;2;49;53959;;0;false;;;;false;0;1;2834;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55576;3;125;18981;19/12/2025;;38:36.7;238;119;;;2;;;0;1;;70;55;54320;;0;false;;;;false;0;1;2840;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55543;3;67;18981;19/12/2025;;52:00.0;238;63;;;2;2;;0;1;;2;49;54352;;0;false;;;;false;0;1;2837;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55541;3;122;18981;19/12/2025;;15:12.5;238;116;;;2;;;0;1;;70;55;54287;;;false;;;;false;0;1;2835;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55574;3;90;18981;19/12/2025;;10:02.6;238;86;;;2;2;;0;1;;2;57;54353;;0;false;;;;false;0;1;2838;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55542;3;122;18981;19/12/2025;;19:40.9;238;116;;;2;;;0;1;;70;55;54287;;0;false;;;;false;0;1;2836;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55578;3;73;18981;19/12/2025;;33:38.3;238;69;;;2;;;0;1;;70;49;54059;;0;false;;;;false;0;1;2842;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55575;3;63;18981;19/12/2025;;25:24.5;238;59;;;2;;;0;1;;70;48;54355;;0;false;;;;false;0;1;2839;;;;;;;;;;false;506;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55577;3;10304;18981;19/12/2025;;06:25.3;238;;;;2;;;0;1;;70;48;54354;;0;false;;;;false;0;1;2841;;;;;;;;;;false;10305;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55607;3;62;18981;22/12/2025;;06:41.3;238;58;;;2;;;0;1;;70;54;54385;;0;false;;;;false;0;1;2843;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55673;3;51;18981;23/12/2025;;23:24.2;238;47;;;2;;;0;1;;70;54;54418;;;false;;;;false;0;1;2845;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55640;3;63;18981;23/12/2025;;37:32.2;238;59;;;2;;;0;1;;70;48;54355;;0;false;;;;false;0;1;2844;;;;;;;;;;false;506;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55674;3;51;18981;23/12/2025;;25:32.0;238;47;;;2;;;0;1;;70;54;54418;;0;false;;;;false;0;1;2846;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55706;3;67;18981;05/01/2026;;46:10.5;238;63;;;2;2;;0;1;;2;49;54452;;0;false;;;;false;0;1;2847;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55708;5;15448;373;05/01/2026;;56:27.4;373;15115;;;2;3;;0;2;;2;54;54461;;0;false;;;;false;0;2;888;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55707;3;1027;18981;05/01/2026;;55:16.5;238;;;;2;;;0;1;;70;48;54451;;0;false;;;;false;0;1;2848;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55709;3;55;18981;05/01/2026;;17:21.5;238;51;;;2;;;0;1;;70;50;54453;;0;false;;;;false;0;1;2849;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55710;3;55;18981;05/01/2026;;22:23.9;238;51;;;2;;;0;1;;70;50;54454;;0;false;;;;false;0;1;2850;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55711;3;140;18981;05/01/2026;;47:17.5;238;134;;;2;2;;0;1;;2;49;54458;;0;false;;;;false;0;1;2851;;;;;;;;;;false;2479;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55712;3;140;18981;05/01/2026;;51:26.1;238;134;;;5;2;;0;1;;2;49;54459;;0;false;;;;false;0;1;2852;;;;;;;;;;false;2479;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55713;3;140;18981;05/01/2026;;51:49.1;238;134;;;5;2;;0;1;;2;49;54457;;0;false;;;;false;0;1;2853;;;;;;;;;;false;2479;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55714;3;112;373;05/01/2026;;17:23.1;373;106;;;2;;;0;2;;70;63;54462;;0;false;;;;false;0;1;2854;;;;;;;;;;false;9574;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55715;5;6406;373;05/01/2026;;39:27.2;373;6172;;;2;3;;0;2;;2;50;54463;;0;false;;;;false;0;2;889;;;;;;;;;;false;12049;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55716;3;54;18981;05/01/2026;;43:20.4;238;50;;;2;;;0;1;;70;50;54455;;0;false;;;;false;0;1;2855;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55717;3;54;18981;05/01/2026;;48:34.5;238;50;;;2;;;0;1;;70;50;54456;;0;false;;;;false;0;1;2856;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55739;5;6307;373;05/01/2026;;11:07.6;373;6073;;ATENÇÃO - DATA DE VENCIMENTO DO BOLETO SEMPRE AS SEXTA-FEIRA;2;3;;0;1;;2;49;54484;;0;false;;;;false;0;2;890;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55772;5;24424;373;05/01/2026;;06:02.8;373;24025;;;2;3;;0;2;;2;55;54517;;0;false;;;;false;0;2;891;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55805;3;72;18981;05/01/2026;;25:27.0;238;68;;;2;;;0;1;;70;50;54550;;0;false;;;;false;0;1;2857;;;;;;;;;;false;18718;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55838;3;118;18981;05/01/2026;;58:36.6;238;112;;;2;;;0;1;;70;377;54460;;0;false;;;;false;0;1;2858;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55905;3;118;18981;06/01/2026;;09:05.6;238;112;;;2;;;0;1;;70;377;54460;;0;false;;;;false;0;1;2860;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55937;3;53;18981;06/01/2026;;21:23.0;238;49;;;2;;;0;1;;70;50;54620;;0;false;;;;false;0;1;2861;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55938;5;3568;373;06/01/2026;;30:57.7;373;3268;;;2;3;;0;2;;2;48;54649;;0;false;;;;false;0;2;893;;;;;;;;;;false;3569;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55939;3;111;18981;06/01/2026;;50:44.1;238;105;;;2;;;0;1;;70;63;54619;;0;false;;;;false;0;1;2862;;;;;;;;;;false;1853;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55871;5;61;373;06/01/2026;;35:22.0;373;57;;;2;;;0;2;;70;50;54583;;0;false;;;;false;0;2;892;;;;;;;;;;false;503;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55904;3;45;18981;06/01/2026;;38:50.9;238;41;;;2;2;;0;1;;2;54;54618;;0;false;;;;false;0;1;2859;;;;;;;;;;false;469;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55940;3;51;18981;06/01/2026;;01:18.1;238;47;;;2;;;0;1;;70;54;54621;;;false;;;;false;0;1;2863;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55941;3;51;18981;06/01/2026;;06:12.3;238;47;;;2;;;0;1;;70;54;54621;;0;false;;;;false;0;1;2864;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55943;3;50;18981;06/01/2026;;38:43.3;238;46;;;2;;;0;1;;70;48;54617;;0;false;;;;false;0;1;2866;;;;;;;;;;false;500;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55942;3;50;18981;06/01/2026;;36:30.0;238;46;;;5;;;0;1;;70;48;54617;;;false;;;;false;0;1;2865;;;;0;;;;;;false;500;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55971;3;121;373;07/01/2026;;12:01.1;373;115;;;2;;;0;2;;70;50;54687;;0;false;;;;false;0;1;2868;;;;;;;;;;false;2714;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55972;3;49;18981;07/01/2026;;43:01.2;238;45;;;2;;;0;1;;70;48;54688;;0;false;;;;false;0;1;2869;;;;;;;;;;false;501;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55977;3;99;18981;07/01/2026;;11:58.2;238;93;;;2;;;0;1;;70;54;54682;;0;false;;;;false;0;1;2873;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55970;3;90;18981;07/01/2026;;17:09.4;238;86;;;2;2;;0;1;;2;48;54686;;0;false;;;;false;0;1;2867;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55973;3;51;18981;07/01/2026;;14:39.8;238;47;;;2;;;0;1;;70;54;54685;;0;false;;;;false;0;1;2870;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55980;3;108;18981;07/01/2026;;40:48.7;238;102;;;2;;;0;1;;70;50;54684;;0;false;;;;false;0;1;2874;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55974;5;15119;373;07/01/2026;;49:32.8;373;14859;;;2;3;;0;2;;2;49;54689;;0;false;;;;false;0;2;894;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55978;5;131;373;07/01/2026;;31:29.4;373;125;;;2;;;0;2;;70;69;54690;;0;false;;;;false;0;2;895;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55975;3;98;18981;07/01/2026;;03:03.8;238;92;;;2;;;0;1;;70;54;54683;;;false;;;;false;0;1;2871;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55976;3;98;18981;07/01/2026;;08:12.9;238;92;;;2;;;0;1;;70;54;54683;;;false;;;;false;0;1;2872;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55979;5;77;373;07/01/2026;;38:56.5;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;2;;2;80;54691;;0;false;;;;false;0;2;896;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
55981;3;98;18981;07/01/2026;;34:21.4;238;92;;;2;;;0;1;;70;54;54683;;;false;;;;false;0;1;2875;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55982;3;98;18981;07/01/2026;;38:23.1;238;92;;;2;;;0;1;;70;54;54683;;0;false;;;;false;0;1;2876;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55983;5;3568;373;07/01/2026;;22:52.4;373;3268;;;2;3;;0;1;;2;48;54692;;0;false;;;;false;0;2;897;;;;;;;;;;false;3569;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56037;3;62;18981;08/01/2026;;33:40.3;238;58;;;2;;;0;1;;70;54;54718;;0;false;;;;false;0;1;2879;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56003;3;51;18981;08/01/2026;;18:26.7;238;47;;;5;;;0;1;;70;54;54621;;0;false;;;;false;0;1;2877;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56036;3;113;18981;08/01/2026;;44:02.9;238;107;;;2;;;0;1;;70;63;54716;;0;false;;;;false;0;1;2878;;;;;;;;;;false;2909;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56038;3;48;18981;08/01/2026;;58:32.0;238;44;;;5;;;0;1;;70;69;54722;;0;false;;;;false;0;1;2880;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56039;3;62;18981;08/01/2026;;34:27.1;238;58;;;2;;;0;1;;70;54;54717;;0;false;;;;false;0;1;2881;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56040;3;132;18981;08/01/2026;;13:22.9;238;126;;;2;2;;0;1;;2;49;54715;;0;false;;;;false;0;1;2882;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56041;3;125;18981;08/01/2026;;50:09.8;238;119;;;2;;;0;1;;70;55;54719;;0;false;;;;false;0;1;2883;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56042;3;125;18981;08/01/2026;;08:12.2;238;119;;;2;;;0;1;;70;55;54720;;0;false;;;;false;0;1;2884;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
56069;3;122;18981;09/01/2026;;10:09.8;238;116;;;2;;;0;1;;70;55;54721;;;false;;;;false;0;1;2884;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
