cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtaltera;cdusuarioaltera;cdenderecoentrega;observacao;cdvendasituacao;cdconta;valorfrete;frete;cdformapagamento;cdprazopagamento;cdpedidovenda;desconto;prazomedio;bonificacao;taxavenda;cdlocalarmazenagem;identificador;percentualdesconto;observacaointerna;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;valoraproximadoimposto;valorfretecif;sinalizadosemreserva;intermediadornfe;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54690;3;51;18981.0;2025-02-12;;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53764.0;;false;false;0.0;1.0;2748;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54727;3;99;18981.0;2025-03-12;2026-01-13 15:27:30;238;93.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53792.0;0.0;false;false;0.0;1.0;2757;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54718;3;136;18981.0;2025-03-12;2026-01-13 04:28:36;238;130.0;nao_informado;2.0;2;0.0;1.0;2.0;56.0;53762.0;0.0;false;false;0.0;1.0;2750;;nao_informado;false;2908.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54720;3;136;18981.0;2025-03-12;2026-01-13 10:27:18;238;130.0;nao_informado;2.0;2;0.0;1.0;2.0;56.0;53763.0;0.0;false;false;0.0;1.0;2751;;nao_informado;false;2908.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54719;5;24424;373.0;2025-03-12;2026-01-13 07:43:24;373;24025.0;nao_informado;2.0;3;0.0;2.0;2.0;55.0;53798.0;0.0;false;false;0.0;2.0;869;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54721;3;139;18981.0;2025-03-12;;238;133.0;nao_informado;2.0;2;0.0;1.0;2.0;50.0;53799.0;0.0;false;false;0.0;1.0;2752;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54716;5;77;373.0;2025-03-12;2026-01-13 17:31:18;373;73.0;"usar prazo de pagamento
 60 dias"" nas compras até r$: 1.000,00.";;;;;;;;;;;;;;;nao_informado;;;0.0;;;;;0.0;;;;;0.0;
54728;3;108;18981.0;2025-03-12;2026-01-13 19:41:06;238;102.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53794.0;0.0;false;false;0.0;1.0;2758;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54717;3;127;18981.0;2025-03-12;2026-01-13 00:22:30;238;121.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53797.0;0.0;false;false;0.0;1.0;2749;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54722;3;64;18981.0;2025-03-12;2026-01-13 06:37:00;238;60.0;nao_informado;2.0;2;0.0;1.0;2.0;54.0;53795.0;0.0;false;false;0.0;1.0;2753;;nao_informado;false;2875.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54724;3;117;18981.0;2025-03-12;2026-01-13 07:06:54;238;111.0;nao_informado;2.0;2;0.0;1.0;2.0;58.0;53766.0;0.0;false;false;0.0;1.0;2754;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54723;5;131;373.0;2025-03-12;;373;125.0;nao_informado;2.0;;0.0;2.0;70.0;69.0;53801.0;0.0;false;false;0.0;2.0;870;;nao_informado;false;17362.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54729;5;77;373.0;2025-03-12;;373;73.0;"usar prazo de pagamento
 60 dias"" nas compras até r$: 1.000,00.";;;;;;;;;;;;;;;nao_informado;;;0.0;;;;;0.0;;;;;0.0;
54725;3;98;18981.0;2025-03-12;2026-01-13 08:28:00;238;92.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53793.0;;false;false;0.0;1.0;2755;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54726;3;98;18981.0;2025-03-12;2026-01-13 12:29:24;238;92.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53793.0;;false;false;0.0;1.0;2756;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54730;5;2116;373.0;2025-03-12;2026-01-13 19:44:54;373;;nao_informado;2.0;3;0.0;1.0;2.0;49.0;53800.0;0.0;false;false;0.0;2.0;872;;nao_informado;false;2117.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54750;3;98;18981.0;2025-04-12;;238;92.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53793.0;0.0;false;false;0.0;1.0;2760;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54817;3;62;18981.0;2025-04-12;;238;58.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53857.0;0.0;false;false;0.0;1.0;2764;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54782;3;67;18981.0;2025-04-12;;238;63.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53824.0;0.0;false;false;0.0;1.0;2761;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54749;3;98;18981.0;2025-04-12;;238;92.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53793.0;;false;false;0.0;1.0;2759;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54815;3;11290;18981.0;2025-04-12;;238;11023.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53768.0;0.0;false;false;0.0;1.0;2762;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54818;3;125;18981.0;2025-04-12;;238;119.0;nao_informado;2.0;;0.0;1.0;70.0;55.0;53796.0;0.0;false;false;0.0;1.0;2765;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54816;3;132;18981.0;2025-04-12;;238;126.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53767.0;0.0;false;false;0.0;1.0;2763;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54820;3;83;18981.0;2025-04-12;;238;79.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53859.0;0.0;false;false;0.0;1.0;2767;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54819;3;125;18981.0;2025-04-12;2026-01-13 02:13:54;238;119.0;nao_informado;2.0;;0.0;1.0;70.0;55.0;53858.0;0.0;false;false;0.0;1.0;2766;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54821;3;83;18981.0;2025-04-12;;238;79.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53860.0;0.0;false;false;0.0;1.0;2768;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54849;3;57;18981.0;2025-05-12;;238;53.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53830.0;0.0;false;false;0.0;1.0;2770;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54848;3;57;18981.0;2025-05-12;2026-01-13 11:36:24;238;53.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53829.0;0.0;false;false;0.0;1.0;2769;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54850;5;59;373.0;2025-05-12;;373;55.0;nao_informado;2.0;3;0.0;1.0;2.0;68.0;53890.0;0.0;false;false;0.0;2.0;873;;nao_informado;false;502.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
